epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2176.13,0.77868,0.61679,1.06371,0.90976,0.72443,0.81339,0.53179,1.24217,0.75585,1.36857,0.000424187,0.000424187,0.000424187
43,2228.01,0.77612,0.61333,1.06095,0.93306,0.74678,0.81811,0.49868,1.35936,0.76306,1.45366,0.000417119,0.000417119,0.000417119
44,2280.22,0.77068,0.60774,1.0555,0.92249,0.74524,0.82062,0.51981,1.3187,0.75152,1.42551,0.00041005,0.00041005,0.00041005
45,2332.49,0.77158,0.60485,1.05787,0.89459,0.74033,0.81237,0.51954,1.25586,0.76047,1.37842,0.000402982,0.000402982,0.000402982
46,2384.52,0.76099,0.59754,1.052,0.90509,0.73295,0.8081,0.5167,1.30061,0.765,1.40916,0.000395913,0.000395913,0.000395913
47,2436.27,0.75948,0.59669,1.0512,0.84843,0.74849,0.79975,0.51431,1.24085,0.77998,1.37804,0.000388844,0.000388844,0.000388844
48,2488.31,0.75449,0.58742,1.04391,0.92795,0.74555,0.82646,0.52347,1.26043,0.74567,1.36565,0.000381776,0.000381776,0.000381776
49,2540.16,0.74524,0.58125,1.04346,0.91601,0.74592,0.82814,0.52387,1.29368,0.77475,1.39889,0.000374707,0.000374707,0.000374707
50,2592.08,0.73571,0.57851,1.03616,0.90526,0.74938,0.82623,0.52486,1.30464,0.76902,1.3878,0.000367639,0.000367639,0.000367639
51,2644.11,0.73517,0.56788,1.03571,0.91601,0.76373,0.83528,0.52671,1.31625,0.72746,1.39992,0.00036057,0.00036057,0.00036057
52,2696.09,0.7384,0.56785,1.03484,0.9361,0.75,0.82962,0.52168,1.3026,0.74917,1.39043,0.000353501,0.000353501,0.000353501
53,2748.05,0.7272,0.5633,1.03361,0.89777,0.76252,0.82647,0.55504,1.15298,0.70238,1.29361,0.000346433,0.000346433,0.000346433
54,2800.27,0.72201,0.55692,1.02857,0.93822,0.72931,0.83055,0.52973,1.24455,0.77132,1.34127,0.000339364,0.000339364,0.000339364
55,2852.26,0.72323,0.55911,1.02923,0.89759,0.7511,0.82159,0.54221,1.19995,0.76462,1.32314,0.000332296,0.000332296,0.000332296
56,2904.31,0.71995,0.54905,1.02378,0.90778,0.75503,0.82564,0.53417,1.23855,0.69319,1.34134,0.000325227,0.000325227,0.000325227
57,2956.23,0.71458,0.5473,1.02057,0.92312,0.75087,0.83348,0.54813,1.20103,0.65681,1.31598,0.000318158,0.000318158,0.000318158
58,3008.31,0.71445,0.54151,1.01719,0.93627,0.72727,0.82992,0.54833,1.21311,0.70258,1.32813,0.00031109,0.00031109,0.00031109
59,3060.26,0.70617,0.53749,1.02154,0.92435,0.74504,0.8285,0.53795,1.29922,0.74497,1.37933,0.000304021,0.000304021,0.000304021
60,3112.04,0.69764,0.53335,1.01164,0.92462,0.75196,0.83624,0.55949,1.21361,0.69693,1.33014,0.000296953,0.000296953,0.000296953
61,3164.1,0.69127,0.52361,1.01312,0.89147,0.75486,0.82282,0.53745,1.25949,0.75709,1.36272,0.000289884,0.000289884,0.000289884
62,3216.2,0.69021,0.52248,1.0102,0.9198,0.74869,0.82982,0.53847,1.22956,0.70831,1.34474,0.000282815,0.000282815,0.000282815
63,3267.94,0.69017,0.52697,1.01346,0.93104,0.77439,0.83921,0.56182,1.16998,0.67568,1.31368,0.000275747,0.000275747,0.000275747
64,3319.71,0.68285,0.51422,1.00395,0.91268,0.76393,0.83805,0.5462,1.21425,0.71501,1.35637,0.000268678,0.000268678,0.000268678
65,3371.6,0.67836,0.51436,1.00621,0.88965,0.77279,0.84008,0.55773,1.24539,0.68152,1.34996,0.00026161,0.00026161,0.00026161
66,3423.89,0.68195,0.50961,1.00333,0.90413,0.77918,0.83653,0.5478,1.23745,0.7054,1.38079,0.000254541,0.000254541,0.000254541
67,3475.68,0.66331,0.50771,0.99973,0.94227,0.7464,0.84085,0.55303,1.23088,0.71871,1.36195,0.000247472,0.000247472,0.000247472
68,3527.66,0.66157,0.50078,0.99637,0.9244,0.75909,0.8392,0.54864,1.22752,0.69847,1.35862,0.000240404,0.000240404,0.000240404
69,3579.38,0.66546,0.50615,0.99815,0.9317,0.75748,0.83785,0.55944,1.21755,0.70899,1.36007,0.000233335,0.000233335,0.000233335
70,3631.27,0.65591,0.49347,0.9944,0.93172,0.76368,0.84219,0.56589,1.18555,0.70258,1.32469,0.000226267,0.000226267,0.000226267
71,3683.17,0.65448,0.49038,0.99364,0.93863,0.76446,0.84305,0.56867,1.16406,0.68208,1.31372,0.000219198,0.000219198,0.000219198
72,3735.34,0.64922,0.48512,0.98942,0.93984,0.75785,0.84352,0.56065,1.22963,0.68326,1.36753,0.000212129,0.000212129,0.000212129
73,3787.49,0.64924,0.48299,0.98634,0.91001,0.77999,0.84329,0.56617,1.18681,0.64038,1.31513,0.000205061,0.000205061,0.000205061
74,3839.54,0.64767,0.48454,0.98398,0.93549,0.77293,0.85271,0.58059,1.16762,0.63818,1.32005,0.000197992,0.000197992,0.000197992
75,3891.56,0.64203,0.4778,0.98361,0.92572,0.76592,0.84958,0.58126,1.2077,0.62927,1.32641,0.000190924,0.000190924,0.000190924
76,3943.62,0.64258,0.48,0.98225,0.93436,0.76193,0.84911,0.57591,1.20088,0.66462,1.33398,0.000183855,0.000183855,0.000183855
77,3995.5,0.62661,0.46834,0.97916,0.93505,0.76564,0.85175,0.57581,1.18063,0.63381,1.29933,0.000176786,0.000176786,0.000176786
78,4047.53,0.6345,0.47297,0.98209,0.93299,0.76365,0.85575,0.56467,1.21525,0.64445,1.34576,0.000169718,0.000169718,0.000169718
79,4099.46,0.6259,0.46595,0.97807,0.93928,0.76753,0.85447,0.57191,1.2212,0.64018,1.35121,0.000162649,0.000162649,0.000162649
80,4151.22,0.6284,0.46771,0.98033,0.9222,0.77826,0.84671,0.57947,1.16971,0.6608,1.31172,0.000155581,0.000155581,0.000155581
81,4202.97,0.6231,0.46472,0.9765,0.90631,0.78966,0.85407,0.58218,1.16876,0.65361,1.32383,0.000148512,0.000148512,0.000148512
82,4255.38,0.61533,0.46031,0.97298,0.93525,0.77481,0.85438,0.58881,1.13848,0.64226,1.29069,0.000141443,0.000141443,0.000141443
83,4307.57,0.61111,0.45878,0.97237,0.92943,0.78347,0.86081,0.59525,1.1429,0.63368,1.28908,0.000134375,0.000134375,0.000134375
84,4359.8,0.61745,0.46095,0.97365,0.9207,0.79276,0.86151,0.59122,1.14598,0.62856,1.3005,0.000127306,0.000127306,0.000127306
85,4411.86,0.60756,0.44893,0.96872,0.91763,0.78056,0.85271,0.58885,1.15359,0.63761,1.30158,0.000120238,0.000120238,0.000120238
86,4463.91,0.60933,0.45314,0.96924,0.93857,0.76865,0.85271,0.58469,1.17674,0.64292,1.32287,0.000113169,0.000113169,0.000113169
87,4516.02,0.60118,0.4447,0.96391,0.93922,0.77653,0.8569,0.58658,1.18148,0.64277,1.3203,0.0001061,0.0001061,0.0001061
88,4567.84,0.59996,0.44417,0.96662,0.92899,0.78744,0.85972,0.59298,1.16484,0.62362,1.31231,9.90318e-05,9.90318e-05,9.90318e-05
89,4619.94,0.59399,0.44191,0.96145,0.91865,0.7994,0.86124,0.59224,1.1525,0.62845,1.31903,9.19632e-05,9.19632e-05,9.19632e-05
90,4672.11,0.59151,0.44037,0.96419,0.95174,0.78115,0.85883,0.59806,1.14748,0.62053,1.31015,8.48946e-05,8.48946e-05,8.48946e-05
91,4724.94,0.59497,0.38607,0.95313,0.92788,0.79302,0.86321,0.58537,1.19306,0.63971,1.35842,7.7826e-05,7.7826e-05,7.7826e-05
92,4776.05,0.57366,0.36921,0.9436,0.93331,0.78124,0.85693,0.59152,1.13219,0.63689,1.30976,7.07574e-05,7.07574e-05,7.07574e-05
93,4826.88,0.56268,0.36059,0.93538,0.94274,0.78525,0.86262,0.59118,1.14747,0.6292,1.3181,6.36888e-05,6.36888e-05,6.36888e-05
94,4877.83,0.55661,0.35668,0.93378,0.94281,0.78623,0.86387,0.59098,1.13629,0.61138,1.30303,5.66202e-05,5.66202e-05,5.66202e-05
95,4929.11,0.5555,0.35881,0.93525,0.94457,0.77839,0.86622,0.59345,1.13734,0.61708,1.30374,4.95516e-05,4.95516e-05,4.95516e-05
96,4980.17,0.54972,0.35352,0.93405,0.94868,0.7823,0.86442,0.60173,1.10844,0.60993,1.28597,4.2483e-05,4.2483e-05,4.2483e-05
97,5031.02,0.5414,0.348,0.92678,0.94239,0.78692,0.86816,0.60013,1.12653,0.61085,1.30105,3.54144e-05,3.54144e-05,3.54144e-05
98,5081.78,0.54355,0.34784,0.93086,0.92336,0.79633,0.86716,0.60193,1.11401,0.62043,1.29523,2.83458e-05,2.83458e-05,2.83458e-05
99,5132.57,0.53358,0.34258,0.92458,0.95702,0.78205,0.8695,0.6028,1.11864,0.60985,1.29954,2.12772e-05,2.12772e-05,2.12772e-05
100,5183.41,0.53404,0.34251,0.92524,0.93832,0.79179,0.87061,0.60203,1.12503,0.60488,1.30362,1.42086e-05,1.42086e-05,1.42086e-05
